ZdcId;ZdCXEpsg2154;ZdCYEpsg2154;liftReason;liftStatus;liftMode;liftId;LiftPrivateId;liftSituation;liftDirection;liftStateUpdate;LiftState;ZdcName;ZdcCentroid
71911;655882;6864571;;available;Metro;770;PSG1;SA200,CR204;SA200 SORTIE, CR204 LOUIS BLANC;2024-04-16T16:07:00+02:00;1;Pré-Saint-Gervais;48.87964630838671,2.3984503452170656
70657;650482;6858251;;available;Tramway;870;EQ11-A005-000000221;Quai 2 palier bas SA227;Porte de Clignancourt;2024-04-16T16:07:00+02:00;1;Porte d'Orléans;48.82241841851466,2.3255606569812146
71889;656596;6864279;liftFailure;notavailable;Tramway;767;POLI1;Accès rez de voirie;Couloir de correspondance puis escalier pour L11 et L3bis;2024-04-16T16:07:00+02:00;2;Porte des Lilas;48.8770689369502,2.408215217649449
424396;655233;6857258;;available;RapidTransit;1086;545301 - ASC.PMR 4602;Accès E3 rue de la gare;Paris / Province;2024-04-16T16:09:00+02:00;1;Ivry-sur-Seine;48.81383556300884,2.390371385612401
60247;648539;6834318;;available;RapidTransit;462;4204;Quai 4 Voies 6/8;PARIS;2024-04-16T16:10:00+02:00;1;Brétigny;48.60701351429516,2.301979653422405
65305;647737;6873961;;available;RapidTransit;573;2521;Accès Quai 2;Province;2024-04-16T16:11:00+02:00;1;Saint-Gratien;48.963474598079735,2.286241421030079
69487;640111;6855786;;available;RapidTransit;1020;393173 - ASC. 9403 SGR;SORTIE GARE ROUTIERE;accès gare;2024-04-16T16:09:00+02:00;1;Chaville - Vélizy;48.799370363371736,2.1846625909276614
69852;656663;6851805;liftFailure;notavailable;RapidTransit;32;4515;Hall <> Passerelle;;2024-04-16T16:10:00+02:00;2;Choisy-le-Roi;48.764891736689336,2.4103985841267215
70313;656096;6855784;;available;RapidTransit;1054;545293 - ASC.PMR 4533;VOIE 1B;PROVINCE;2024-04-16T16:09:00+02:00;1;Vitry-sur-Seine;48.800638712923025,2.4022750461619005
70412;644268;6856690;;available;RapidTransit;1108;393082 - ASC.PMR 4613;Quai B côté BV;Paris;2024-04-16T16:09:00+02:00;1;Meudon Val Fleury;48.807872869703786,2.2411346952558793
71016;645961;6859114;;available;RapidTransit;72;4520;Salle d'échange <> Quai B;Dourdan / Etampes / Versailles Chantiers;2024-04-16T16:11:00+02:00;1;Issy Val de Seine;48.829816302035745,2.2638780990371616
71016;645961;6859114;;available;RapidTransit;1015;393306 - ASC.PMR 4545;Quai A;Province;2024-04-16T16:09:00+02:00;1;Issy Val de Seine;48.829816302035745,2.2638780990371616
71016;645961;6859114;;available;RapidTransit;1016;393306 - ASC.PMR 4546;Quai B;Paris;2024-04-16T16:09:00+02:00;1;Issy Val de Seine;48.829816302035745,2.2638780990371616
71135;653530;6860442;;available;RapidTransit;122;4522;Salle d'échange <> Quai A;St Quentin / Pontoise / Argenteuil;2024-04-16T16:09:00+02:00;1;Gare d'Austerlitz;48.84234925822786,2.366833555310353
71135;653530;6860442;;available;RapidTransit;123;4523;Salle d'échange <> Quai B;Massy / Rungis / Dourdan / Etampes;2024-04-16T16:09:00+02:00;1;Gare d'Austerlitz;48.84234925822786,2.366833555310353
71150;646992;6860946;;available;RapidTransit;940;PMR 4543;Voie 1 (côté pont du garigliano);Province;2024-04-16T16:11:00+02:00;1;Javel;48.84637705869549,2.2776933665306247
71269;650514;6862495;undefinedEquipmentProblem;notavailable;RapidTransit;852;PMR 4535;QUAI A;CHAMPS DE MARS;2024-04-16T16:11:00+02:00;4;Musée d'Orsay;48.86058718023936,2.325502731906608
71286;646646;6862990;;available;RapidTransit;15;4505;Hall <> Voie 1;Pontoise / Invalides / Brétigny / Massy Rungis;2024-04-16T16:09:00+02:00;1;Avenue Henri Martin;48.86472985953426,2.272722383924102
71545;649689;6866263;;available;RapidTransit;1000;EQ11-A005-000000258;SA210;;2024-04-16T16:08:00+02:00;1;Porte de Clichy;48.894407769881894,2.313812198503361
71572;654245;6859039;;available;RapidTransit;17;4507;Hall <> Quai C/D;Dourdan / Etampes / Rungis / Massy / Versailles Chantiers;2024-04-16T16:09:00+02:00;1;Bibliothèque François Mitterrand;48.82978311101585,2.3767261048261776
72126;650208;6867338;;available;RapidTransit;164;2511;Hall <> Bureau de vente <> Quai;Toutes Directions;2024-04-16T16:09:00+02:00;1;Saint-Ouen;48.9041150870922,2.3207643299091036
72126;650208;6867338;;available;RapidTransit;1005;EQ11-A005-000000270;SA200;;2024-04-16T16:08:00+02:00;1;Saint-Ouen;48.9041150870922,2.3207643299091036
72126;650208;6867338;;available;RapidTransit;1006;EQ11-A005-000000271;SA200;;2024-04-16T16:08:00+02:00;1;Saint-Ouen;48.9041150870922,2.3207643299091036
72225;649743;6869115;;available;RapidTransit;1017;272146 - ASC. 9203 Q.1;BV / QUAI 1;Paris;2024-04-16T16:09:00+02:00;1;Les Grésillons;48.92005847269764,2.3142108407633746
72303;649253;6870580;;available;RapidTransit;55;2501;Voie 2;Sannois / Pontoise;2024-04-16T16:11:00+02:00;1;Gennevilliers;48.93319372048738,2.307349462843145
74002;646464;6860079;;available;RapidTransit;22;4512;Hall <> Quai B;Etampes / Dourdan / Versailles Chantiers / Juvisy;2024-04-16T16:09:00+02:00;1;Pont du Garigliano - Hôpital Européen G. Pompidou;48.83853652788578,2.270608176062187
60797;655494;6839471;;available;RapidTransit;58;5008;Hall <> Quai 2;Paris;2024-04-16T16:11:00+02:00;1;Grigny Centre;48.65387887605077,2.395778927345404
62003;672293;6826673;;available;RapidTransit;1028;682179 - ASC.PMR 5050;Quai 1 BV;Province;2024-04-16T16:09:00+02:00;1;Le Mée;48.53969748138287,2.6246664119998058
62290;669294;6832948;;available;RapidTransit;1070;682187 - ASC.PMR 5056;Voie 1/1B - Quai 2;Province;2024-04-16T16:09:00+02:00;1;Savigny-le-Temple - Nandy;48.596007841765456,2.5835928317201606
62412;668216;6836517;;available;RapidTransit;84;5011;RER D - Passerelle <> Sortie Moissy;;2024-04-16T16:11:00+02:00;1;Lieusaint - Moissy;48.628058858740964,2.568709896402546
62558;666715;6840942;;available;RapidTransit;561;PMR 5031;Voies 1B/2;Province;2024-04-16T16:11:00+02:00;1;Combs-la-Ville - Quincy;48.66778487672751,2.5479989408054697
62558;666715;6840942;;available;RapidTransit;562;PMR 5032;Sortie BV/Accès souterrain;Paris/Province;2024-04-16T16:11:00+02:00;1;Combs-la-Ville - Quincy;48.66778487672751,2.5479989408054697
